planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
TOI-1260 d,TOI-1260,Transit,0.1116,3.12,11.84,0.0,0.679,73.5977,11.922
TOI-1266 b,TOI-1266,Transit,0.073,2.52,4.46,0.039,0.437,36.0118,12.941
TOI-1266 c,TOI-1266,Transit,0.105,1.98,3.17,0.071,0.437,36.0118,12.941
TOI-1268 b,TOI-1268,Transit,0.0711,9.1,96.4,0.105,0.96,109.557,10.92
TOI-1269 b,TOI-1269,Transit,0.0496,2.40144286,6.4,0.0,0.9027,172.138,11.618
TOI-1272 b,TOI-1272,Transit,0.0417,4.13204907,27.0,0.35,0.8772,137.572,11.758
TOI-1273 b,TOI-1273,Transit,0.0549,11.09689089,70.55790635,0.055,1.06,177.118,10.98
TOI-1278 b,TOI-1278,Transit,0.095,12.21778896,5879.8255295,0.013,0.54,75.5759,13.502
TOI-1279 b,TOI-1279,Transit,0.085,2.66146528,10.6,0.0,0.8784,107.055,10.714
TOI-1288 b,TOI-1288,Transit,0.0374,4.96846551,44.1,0.0,0.9552,114.865,10.445
TOI-1294 b,TOI-1294,Transit,0.051,10.12369881,63.9,0.0,1.1578,332.648,11.314
TOI-1295 b,TOI-1295,Transit,0.047,15.69257298,451.31633794,0.024,1.38,388.227,11.303
TOI-1296 b,TOI-1296,Transit,0.051,14.11645916,95.3,0.0,1.1576,323.265,11.37
TOI-1298 b,TOI-1298,Transit,0.057,9.65807033,99.0,0.0,1.2187,319.036,11.889
TOI-132 b,TOI-132,Transit,0.026,3.42,22.4,0.059,0.97,163.678,11.197
TOI-1333 b,TOI-1333,Transit,0.0626,15.647764,753.2571,0.073,1.464,200.492,9.438
TOI-1386 b,TOI-1386,Transit,0.173,6.2163865,45.8,0.0,1.0363,146.858,10.61
TOI-1408 b,TOI-1408,Transit,0.05778,25.0,593.0,0.0023,1.312,139.484,9.270001
TOI-1408 c,TOI-1408,Transit Timing Variations,0.03587,2.22,7.6,0.1353,1.312,139.484,9.270001
TOI-1410.01,TOI-1410,Transit,0.0207,3.10083009,12.5,0.0,0.7941,72.7512,11.111
TOI-1411 b,TOI-1411,Transit,0.02122,1.19880592,2.0,0.0,0.6045,32.4778,10.51
TOI-1416 b,TOI-1416,Transit,0.019,1.62,3.48,0.0,0.798,55.0135,9.91
TOI-1420 b,TOI-1420,Transit,0.071,11.89,25.1,0.17,0.987,201.918,11.655
TOI-1422 b,TOI-1422,Transit,0.108,3.96,9.0,0.04,0.981,155.141,10.622
TOI-1431 b,TOI-1431,Transit,0.046,16.70138124,991.62462984,0.0022,1.9,148.925,8.03
TOI-1437 b,TOI-1437,Transit,0.14,2.24,9.6,0.17,1.1,103.297,9.173
TOI-1439 b,TOI-1439,Transit,0.192,4.2427861,38.5,0.157,1.2313,230.306,10.55
TOI-1443 b,TOI-1443,Transit,0.147,2.30381001,30.0,0.0,0.7663,85.8034,10.675
TOI-1444 b,TOI-1444,Transit,0.0116,1.41792246,3.58,0.0,0.9513,125.463,10.936
TOI-1448 b,TOI-1448,Transit,0.0567,2.749,19.5,0.36,0.372,73.3345,15.678
